

00400020 / 20050001;
00400024 / 20060064; 
00400028 / 20021000; 
0040002c / 00421400; 
00400030 / 20470028; 
00400034 / 8c430000;
00400038 / 00c3202a; 
0040003c / 10850002;
00400040 / 00c33022; 
00400044 / ac400000;
00400048 / 20420004; 
0040004c / 1447fff9;
00400050 / ace60000;


10000000 / 0000000a; 
10000004 / 00000009; 
10000008 / 00000008; 
1000000c / 000002bc;
10000010 / 00000005; 
10000014 / 00000006;
10000018 / 00000190; 
1000001c / 00000001;
10000020 / 00000002; 
10000024 / 00000003; 


